depending,根据
subtle,微微
greatly,非常
bishop,主教
drinking,飲
acceptance,接受
pump,唧筒
candy,糖果
evil,祸害
pleased,高兴
medal,奖章
beg,求
sponsor,申办方
ethical,伦理学
secondary,二级
export,导出
experimental,试验
melt,熔化
midnight,半夜
curve,曲线
integrity,忠义
entitle,题目
evident,明显
logic,我方公司
essence,内核
exclude,排除
harsh,苛刻
closet,壁橱
suburban,城郊
greet,打招呼
interior,内部
corridor,走廊
retail,零售
pitcher,投手
march,三月
snake,蛇
excuse,原諒
weakness,劣势
pig,粉猪
classical,经典
estimated,已评估
T-shirt,T恤衫
unemployment,失業率
civilization,文明
fold,折叠
reverse,倒置
missing,失踪
correlation,相关性
humanity,人性
flash,闪光
developer,开发者
reliable,可靠的
excitement,激动
Islam,伊斯蘭教
Roman,羅馬人
architecture,建筑
occasional,偶然
administrative,行政
elbow,肘
deadly,致死的毒蛇。
Hispanic,西班牙裔美国人
allegation,控诉主张；当事人在诉讼状中的肯定性陈述
confuse,迷惑
airplane,飞机
monthly,每月一次
duck,鸭子
dose,剂量
Korean,韩文
plead,恳求
initiate,发起
lecture,讲课
van,面包车
sixth,第六
bay,湾
mainstream,主流
suburb,郊区
sandwich,三明治
trunk,干部
rumor,谣言
implementation,执行
swallow,燕子
motivate,动机
render,提供
longtime,长期
trap,圈套
restrict,限制
cloth,布
seemingly,看似
legislative,立法机构
effectiveness,效性
enforce,警察
lens,镜头
inspector,檢查器
lend,贷
plain,平原
fraud,欺诈，欺骗行为
companion,伴侣
contend,抗衡
nail,釘子
array,排列
strict,严格
assemble,組合
frankly,坦白地说
rat,老鼠
hay,干草
hallway,禮堂
cave,洞穴
inevitable,必然
southwest,西南
monster,妖怪
unexpected,意外的 '>>'。
obstacle,障碍
facilitate,促进
rip,|||||||擷取|||
herb,香草
overwhelming,壓倒性
integration,集成
recession,经济衰退
written,书面语
motive,Motif
flood,洪水
pen,钢笔
ownership,所有权
nightmare,梦魇
inspection,检验
supervisor,主管
consult,顾问
arena,竞技场
diagnosis,诊断
possession,占有
forgive,原谅
consistently,始终如一
basement,地下室
drift,漂移
drain,排水口
prosecution,檢察官
maximum,最大数
announcement,公告
warrior,勇士
prediction,預測
bacteria,细菌
questionnaire,调查问卷
mud,淤泥
infrastructure,基础设施
hurry,快點
privilege,特权
temple,神殿
outdoor,户外
suck,吮吸
and,和
or,要么
broadcast,广播
re,回复：
leap,蹦 蹦 [beng4]
random,为菜单项选择一个图像
wrist,腕
curtain,幔
pond,池塘
guilt,罪責
cattle,牛
walking,步行
playoff,季后赛
minimum,最小数
fiscal,财政
skirt,裙子
dump,倾倒
hence,因此
uncomfortable,不舒服
execute,执行
limb,肢
ideology,意識形態
tune,调谐
continuing,继续
harm,损害
railroad,铁路
endure,忍受
radiation,辐射
horn,号角
chronic,慢性病
peaceful,和平
innovation,创新
strain,啮齿动物种类
guitar,吉他
replacement,替换。
behave,表现
administer,管理
simultaneously,同時
dancer,舞蹈
amendment,修正案
transmission,变速器
await,等
retired,注销
grateful,感激~
grace,温雅
virtual,虛擬
colony,殖民地
adoption,收納做兒子
indigenous,当地采购
closed,已关闭
towel,毛巾
modify,修改
particle,粒子
prize,奖项
boost,促进
bat,蝙蝠
alarm,警报
festival,节日
grip,手提箱
weird,怪异的食物
undermine,破壞
freshman,大一新生
sweat,汗
outer,外側
drunk,酒精中毒
separation,拆分
traditionally,传统
govern,统治
southeast,东南
intelligent,聪明的
wherever,无论
ballot,選票
rhetoric,修辞学
convinced,確信
driving,駕駛
vitamin,维生素
enthusiasm,熱情
accommodate,容納
praise,讚美，稱讚
injure,伤害
wilderness,旷野
endless,无限的
mandate,法院授权
respectively,分别
uncertainty,不确定
chaos,混亂
mechanical,机械
forty,四十
profound,深刻
format,注意：类别和页面列表的样式最多为3级。您可以显示超过3个级别的类别和页面，如果你想，但任何更深的第3级将看起来好像它是第3级本身的一部分。如果你真的有超过3级的类别，我向你致敬！
trait,特点
currency,货币
turkey,火鸡
reserve,公积
beam,光束
astronomer,天文学家
corruption,贪污
contractor,承包商
apologize,道歉
doctrine,信條
genuine,正版
thumb,大拇指
unity,統一
compromise,妥协
horrible,好 可 怕
behavioral,行为
exclusive,排除
scatter,散射
commonly,常用
convey,传达
twist,捻
complexity,複雜度
fork,叉
relieve,缓解疼痛
suspicion,高嫌疑
health-care,卫生保健
residence,居住
shame,恥辱
meaningful,有意义
sidewalk,人行道
Olympics,奥林匹克运动会
technological,技术
signature,签名
pleasant,愉快
wow,吓尿
suspend,暫停
rebel,反抗军营地
frozen,冻结
spouse,配偶
fluid,自适应
pension,養老保險
resume,继续
theoretical,理論
sodium,钠
promotion,推广
delicate,精巧
forehead,額
rebuild,重建
bounce,反弹
electrical,电气
hook,鈎子
detective,侦探
traveler,亡命天涯
click,点击
compensation,賠償
exit,退出
attraction,吸引力
dedicate,奉献
altogether,共
pickup,取貨
carve,雕刻
belly,肚子
scare,吓
portfolio,作品集
shuttle,穿梭巴士
invisible,不可见
timing,时期
engagement,参与
ankle,足踝
transaction,交易
rescue,營救
counterpart,无对应文件
historically,历史
firmly,坚决
mild,温 暖
rider,乘客
doll,玩偶
noon,中午
amid,中 中 [zhong1]
identical,相同
precise,精细
anxious,焦慮
structural,结构
residential,内，
diagnose,诊断
carbohydrate,醣
liberty,自由之路
poster,海报
theology,神學
nonprofit,公益
crawl,耙梳
oxygen,氧
handsome,suai
sum,合计
provided,提供
businessman,商人
promising,有希望的。
conscious,意识
determination,程序
donor,捐赠者
hers,她
pastor,牧師
jazz,爵士乐
opera,歌剧
acquisition,习得
pit,坑
hug,擁抱
wildlife,野生动物
punish,惩罚
equity,财产超过其负债的剩余价额；衡平法
doorway,門口
departure,departure  出发
elevator,升降舵
teenage,青少年
guidance,指导
happiness,有福，快乐
statue,雕像
pursuit,追求
repair,修复
decent,像样
gym,健身房
oral,口服
clerk,文员
envelope,信封
reporting,正在报告
destination,合并主题
fist,拳头
endorse,签署
exploration,探险家
generous,利他主义
bath,衛浴
thereby,从而
indicator,指標
sunlight,阳光
feedback,反馈
spectrum,光譜
purple,紫色
laser,激光
reluctant,不願
starting,開始
expertise,专门知识
practically,实际上
eating,进食
hint,提示
sharply,急剧
parade,游行
realm,领域
cancel,取消
blend,混酿
therapist,治療師
peel,果皮
pizza,比萨饼
recipient,收件人
hesitate,遲疑
accounting,計費
bias,偏差
metaphor,比喻
candle,la zhu蜡烛
judicial,司法機構
entity,实体
suffering,痛苦
full-time,全日制
lamp,灯
garbage,垃圾
servant,仆人
regulatory,监管
diplomatic,外交
elegant,优雅
reception,接收
vanish,消失
automatically,接受Cookie。
chin,颔
necessity,必要性
confess,承認
casteism,种姓
casual,計時人員
gravity,重力
enroll,报名
diminish,减少
prevention,预防
minimize,最小化
chop,盖章
performer,演员
intent,意图
isolate,隔离
productive,productive
assembly,集會，會衆
civic,公民
silk,丝绸
magnitude,大小
steep,陡
hostage,人质
collector,收集器
popularity,人气
alien,外僑
dynamic,动态
scary,可怕！（怕个毛）
equation,等式
angel,天使
offering,裁判
rage,狂暴
photography,摄影
toilet,厕所
disappointed,失望
precious,珍貴
prohibit,禁酒令
realistic,真实
hidden,hidden
tender,偿付
gathering,收集数据
outstanding,出色
stumble,Stumble
lonely,寂寞
automobile,汽车
artificial,人工
dawn,黎明
abstract,摘要
descend,下 降
silly,愚蠢
tide,潮
shared,共享
hopefully,希望
readily,容易
cooperate,合作
revolutionary,革命家
romance,言情(浪漫)
hardware,硬件
pillow,枕头
kit,整套球服
continent,大陆
seal,印章，印記
circuit,线路
ruling,尺
shortage,数额不足
annually,每年
lately,最近
scan,扫描
fool,愚蠢的人
deadline,截止日期
rear,背面板
processing,处理中
ranch,牧场
coastal,岸
undertake,进行
softly,轻轻地
burning,火焰
verbal,口头
tribal,部落
ridiculous,tidak masuk akal.
automatic,自动
diamond,钻石
credibility,可靠性
import,导入
sexual,性
divine,神性
sentiment,意见
cart,cart
oversee,监督
o'clock,O
elder,上古
pro,Pro
inspiration,啟示
Dutch,荷兰语
quantity,数量
mate,物资管理
Greek,希腊语
genius,天才
monument,纪念碑
bid,bid
quest,请求
sacrifice,祭牲
invitation,邀請
accuracy,精度
officially,正式
broker,经纪商
treasure,寶
loyalty,忠貞
talented,有天赋。
gasoline,汽油
stiff,僵硬
output,输出
nominee,推荐人
extended,扩展
diabetes,糖尿病
slap,耳光
toxic,毒性
alleged,所謂的
jaw,狭窄入口
grief,悲痛
mysterious,谜团
rocket,火箭
donate,捐赠
inmate,囚犯
tackle,铲球
dynamics,動力學
bow,弓
ours,我们
dignity,尊嚴
carpet,地毯
parental,家长控制
bubble,气泡
buddy,伙伴
barn,谷仓
sword,剑
seventh,第七
glory,榮耀
tightly,紧紧地
protective,保护
tuck,塔克
drum,鼓
faint,昏
queen,皇后
dilemma,困境
input,输入
specialize,专业
northeast,东北
shallow,淺
liability,责任
sail,帆
merchant,商人
stadium,体育馆
improved,更好的
bloody,|血腥的; 残忍的; 非常, 很|
associated,相关:
withdrawal,取款
refrigerator,冰箱
nest,巢穴
thoroughly,彻底
lane,泳道
ancestor,父级
condemn,谴责
steam,蒸汽
accent,强调色
optimistic,乐观的
unite,团结
cage,笼子
equip,裝上
shrimp,虾
homeland,家乡
rack,机架
costume,服装
wolf,狼
courtroom,法庭 法庭 [fa3 ting2]
statute,法令，法规
cartoon,卡通
productivity,效率
grin,露齿而笑
symbolic,象征符号
bug,甲蟲
bless,保佑
aunt,叔母伯母
agriculture,农业
hostile,敌对的
conceive,怀孕
combined,组合的
instantly,立刻
bankruptcy,破产
vaccine,疫苗
bonus,红利
collaboration,合作
mixed,混血
opposed,反对
orbit,范围
grasp,把握
patience,耐心
spite,尽管
tropical,热带
voting,投票
patrol,巡邏
willingness,是否愿意
revelation,启示
calm,平静
jewelry,首飾
Cuban,古巴语
haul,运输
concede,承认
wagon,車
afterward,后来
spectacular,壮观
ruin,毁
sheer,绝对
immune,基于
reliability,可靠性
ass,驢
alongside,靠
bush,树丛
exotic,特殊口味
fascinating,有 意 思
clip,剪切
thigh,大腿
bull,公牛
drawer,抽屉
sheep,绵羊
discourage,阻止
coordinator,協調員
ideological,意識形態
secular,世俗
intimate,亲密
empire,帝国
cab,卡步
exam,考试
documentary,纪录片
neutral,中性
biology,生物学
flexible,灵活
progressive,渐进
conspiracy,阴谋；同谋；串通；共谋
casualty,伤亡
republic,共和国
execution,执行
terrific,了不起
whale,鲸鱼
functional,功能
instinct,本能
aluminum,铝
whoever,谁
ministry,部
verdict,判决书；裁决，判断，结论；(陪审团对案件的)裁决
instruct,讲授
skull,头骨
self-esteem,自尊
cooperative,合作社
manipulate,操控
bee,蜜蜂
practitioner,从业者
loop,循环
edit,编辑
whip,鞭子
puzzle,益智游戏
mushroom,蕈類
subsidy,補貼
boil,毒疮
tragic,悲劇
mathematics,数学
mechanic,技工
earthquake,地震
pork,猪肉
creativity,创意
safely,安全
underlying,基础
dessert,甜点
sympathy,同情
fisherman,漁夫
incredibly,令人难以置信
isolation,隔离
sock,短袜
eleven,11
sexy,性感
entrepreneur,企業家
syndrome,综合征
bureau,首页
workplace,我的电脑
ambition,雄心
utilize,使用
breeze,@"微風"，
costly,昂贵
ambitious,雄心
Christianity,基督教
presumably,大概是
influential,有影响力的、
translation,翻译
uncertain,不确定
dissolve,溶解
statistical,統計
gut,腸道
metropolitan,都市
aesthetic,美学
spell,当时
insert,插入
helmet,頭盔
waist,腰
expected,預計
royal,皇家
panic,惊慌
crush,粉碎
actively,积极
cliff,悬崖
minimal,最小
cord,基准线
fortunately,幸运的是
cocaine,可卡因
illusion,錯覺
anonymous,匿名
tolerate,寬容
appreciation,鉴定
commissioner,委託人
flexibility,灵活性
instructional,教学
scramble,争夺战
casino,娱乐场
tumor,肿瘤
decorate,装饰
pulse,搏动
equivalent,等量
fixed,固定
experienced,經驗
donation,捐款
diary,日記
sibling,兄弟姊妹
irony,反諷
spoon,勺子
midst,中间
alley,胡同
interact,交互
soap,肥皂
cute,可爱
rival,竞争对手
short-term,短期:
punch,拳击球
pin,针
hockey,曲棍球
passing,传球
persist,保持
supplier,提供商
known,知
momentum,动量指标
purse,钱包
liquid,液体
elephant,象
consequently,因此
legislature,立法机构
franchise,特许权
correctly,正確地
mentally,精神上
foster,寄养中...
bicycle,自行车
encouraging,鼓励
cheat,騙
heal,治療
fever,發燒，熱病
filter,分类
rabbit,兔子
coin,硬幣
exploit,利用
accessible,可访问
organism,生物
sensation,轟動
partially,定金支付
upstairs,楼梯
dried,干燥
conservation,水土保持
shove,推
backyard,后院
charter,Charter  包机
stove,炉子
consent,同意
comprise,包含 包含 [bao1 han2]
reminder,提醒
alike,Alike
placement,放置
dough,生麵團
grandchild,家族
dam,水坝
reportedly,据报道
well-known,知名度高
surrounding,周围
ecological,生态
outfit,装备
unprecedented,破天荒
columnist,专栏作家
workout,锻炼
preliminary,前言
patent,专利；获得专利
shy,害羞
trash,永久删除
disabled,禁用
gross,毛重
damn,該死
texture,纹理
pencil,铅笔
frontier,邊境
spray,喷绘
disclose,披露
custody,保管
beast,动物
interfere,干扰
oak,橡木
notebook,笔记本
outline,大綱
attendance,考勤
speculation,投机
uncover,揭露
behalf,代表
innovative,创新
shark,鲨鱼
mill,磨坊
installation,安装
stimulate,刺激
vertical,纵向位置
swimming,游泳
fleet,Fleet : 机组：
catalog,目录
outsider,guailo
desperately,拼命
stance,立场
compel,迫使
sensitivity,灵敏度
someday,某天
instant,瞬间
debut,出道
proclaim,宣告
worldwide,全球
hike,远足
required,需要
confrontation,对抗
colorful,彩色
constitution,宪法
Thanksgiving,感恩
scent,气味
eyebrow,眉毛
sack,布袋
cease,停止
inherit,继承
tray,托盘
pioneer,先驱
organizational,组织
textbook,教科書
nasty,令人讨厌
shrink,收缩
emerging,出现
dot,点
wheat,小麥
fierce,激烈
envision,Envision
rational,合理的
kingdom,王国
aisle,走廊
weaken,削弱
protocol,协议
exclusively,只
vocal,歌曲
marketplace,市集广场
openly,橱柜
unfair,不公平
terrain,地形圖
deploy,部署
risky,风险
pasta,面食
genre,內容類型
distract,轉移
merit,优秀
planner,Planner
depressed,郁闷
chunk,组块大小
closest,最接近
discount,折扣
ladder,阶梯
jungle,丛林
migration,外來移民
breathing,呼吸
invade,入侵
retailer,零售商
classify,整理
coup,政變
ambassador,大使
density,密度
supportive,支持
curiosity,好奇心
aggression,攻击性
stimulus,刺激
journalism,新闻
robot,机器人
dip,浸
likewise,也
informal,样式1
Persian,波斯语
feather,羽毛
sphere,球形
tighten,拧紧
boast,吹牛
pat,PAT
perceived,知觉
sole,鳎目鱼
publicity,宣传
unfold,展开
well-being,生活质量
validity,有效期限
ecosystem,生态系统
strictly,严格
partial,分批
collar,领子
weed,野草
compliance,更新狀態
streak,连胜
supposedly,按说
added,添加
builder,网站编辑器
glimpse,一瞥
premise,前提
specialty,特殊
deem,认为
artifact,人工制品
sneak,弯腰走路
monkey,猴子
mentor,导师
two-thirds,三分之二
listener,听众
lightning,閃電
legally,法律
sleeve,套管
disappointment,失望
disturb,打擾
rib,肋骨
excessive,过多
high-tech,高科技
debris,瓦礫
rod,钢筋
logical,逻辑
socially,社会
parish,堂区
slavery,奴隶制度
blank,空航
commodity,商品
cure,固化方式
mineral,矿物
hunger,饥饿
dying,死亡
developmental,发展
faster,更快
spare,备件
halfway,中线
equality,平等
cemetery,墓地
harassment,骚扰
deliberately,故意
fame,脂肪酸甲酯
regret,後悔
striking,掊 
likelihood,似然函数
carrot,胡萝卜
atop,在顶上
toll,價价 
embarrassed,尷尬
fucking,Fuck
cling,依偎
isolated,独立的
blink,闪烁
suspicious,可疑
wheelchair,轮椅
squad,代表队
eligible,合格
plunge,跳水
demographic,人口
chill,冷藏
refuge,庇护
steer,转向
legislator,立委
rally,集结
programming,编程口
cheer,欢呼
outlet,暢貨中心
intact,不变
vendor,供应商
thrive,興旺
peanut,花生
elaborate,闡述
conception,发明
auction,拍卖
comply,遵守
triumph,胜利
shareholder,股东
comparable,可比
transport,运输
conscience,良心
calculation,计算
considerably,相当
interval,间隔
scratch,刮
awake,醒
jurisdiction,管辖权
inevitably,不可避免地
feminist,女權主義
constraint,约束
emotionally,情绪
expedition,远征
allegedly,據稱
similarity,相似度
lid,lid
dumb,哑
bulk,多数
sprinkle,撒
mortality,死亡率
philosophical,哲学
conversion,轉換數
patron,老板
municipal,市政
liver,肝
harmony,和声
solely,仅
tolerance,公差
blessing,祝福
palace,宫殿
formerly,以前
peasant,鄉民
neat,整齐
lawmaker,民意代表
supermarket,超级市场
cruise,游轮
mobile,移动端
calendar,日曆
widow,寡妇
deposit,存款
beard,胡须
brake,煞車
screening,筛选
impulse,衝動
forbid,阻止
fur,毛皮
brutal,野蛮的
predator,
poke,
opt,
voluntary,
valid,
forum,
dancing,
happily,
soar,
removal,
autonomy,
